"","p","p.adj","eta1","mean1","sd1","eta2","mean2","sd2","mod.pool.var"
"Jonesia",0.129050474908396,1,0.428571428571429,-4.56732822554141,0.142073439420998,0.375,-3.59555915545644,1.0013126130506,0.822661327628251
"X.Streptococcaceae.",0.129255029763586,1,0.571428571428571,-3.35871001622415,0.667464736353784,0.625,-2.16023574181707,0.617063226828606,0.82628944047403
"Asticcacaulis",0.133145387599325,1,0.285714285714286,-3.70506431046514,0.836316469784508,0.75,-2.42665014825962,1.04901759546661,0.923260529735528
"Elizabethkingia",0.133802819548228,1,0.714285714285714,-0.456634389602422,0.270635756371798,0.625,-1.93593363467497,1.27245518529511,1.022966239301
"X.Saccharomycetaceae.",0.134527386043997,1,0.571428571428571,-3.48900632111762,1.74752699810489,1,-5.01727983681492,1e-06,1.47821006899805
"Geobacter",0.135539830620293,1,0.714285714285714,-2.654153302978,0.838699185065718,0.625,-4.09260390140609,1.00594002396282,0.976727896917529
"Bactrocera",0.136360637699819,1,0.857142857142857,-1.60534792718258,1e-06,0.625,-3.62592777848265,1.4666058416746,1.19598559904331
"Salmonella",0.139469604910107,1,0.285714285714286,-2.15486705451359,1.03921990442883,0.5,-1.18749166299864,0.377589774461364,0.863329755041745
"Curtobacterium",0.140679095584089,1,0.428571428571429,-2.00950118427323,1.18406464282245,0.75,-3.52013651548964,1.77122038250015,1.24360942271663
"X.Hymenoptera.",0.141085040784634,1,0.714285714285714,-4.12618487675148,0.637998376674695,0.75,-2.64084859349042,0.522292359845688,0.884715080736371
"Rhizopus",0.142638233874593,1,0.571428571428571,-4.17331097449445,1.02083639047788,0.625,-2.98114875588998,0.393731538518384,0.880681837350236
"Annulohypoxylon",0.143295379483575,1,0.571428571428571,-4.74922527367024,0.2852136946904,0.875,-3.08788716563798,1e-06,0.840273294255408
"Pectobacterium",0.145362065541422,1,0.285714285714286,-3.42239365499251,0.969777608430894,0.375,-2.16472395983049,2.04141418476444,1.70366509027448
"Serratia",0.146103948590595,1,0.142857142870397,-2.12213127620859,1.19673956351704,0.125,-1.13958707291779,1.38069045639478,1.36719025253621
"Microvirga",0.14738817230632,1,0.142857142857143,-0.866921754885136,1.35243773072702,0.375,0.0550552877551032,0.1910951087917,1.01449797109349
"Granulibacter",0.14833781773449,1,0.571428571428571,-3.85510704899313,0.527638815094893,0.875,-2.18372086558381,1e-06,0.87414248458193
"Ilyobacter",0.148427914827736,1,0.571428571428571,-4.30487382842368,0.863381517420748,0.875,-2.55885796806813,1e-06,0.954412898666942
"X.Coriobacteriaceae.",0.148849275497553,1,0.285714285714286,-3.42788138760805,1.53757702152116,0.375,-2.38034967670882,0.734574900330392,1.20376470326444
"X.Spirochaetaceae.",0.150555590696033,1,0.571428571428571,-3.98149812898693,1.29823016094523,1,-5.01727983681492,1e-06,1.22089309031658
"Mastadenovirus",0.151879418483521,1,0.714285714285714,-1.77854097708445,0.12511695875411,0.75,-3.18232740349173,0.346868012354907,0.837976855189508
"Thalassolituus",0.152439652502544,1,0.714285714285714,-5.16271157243349,0.148774112205512,0.75,-3.65296320402478,1.29430997670187,0.972160544648236
"Listeria",0.153037036026844,1,0.714285714285714,-2.96485762342792,1.70815502608785,0.875,-5.01072300954739,1e-06,1.17830215961531
"Beutenbergia",0.153096055621651,1,0.714285714285714,-3.17534956133949,0.689023610690574,0.875,-5.01072300954739,1e-06,0.948613051913572
"X.Sclerotiniaceae.",0.153348697787685,1,0.714285714285714,-1.08849164320845,1.01235359085908,0.75,-2.8935300238705,2.36831067979217,1.39638364636176
"X.Rivulariaceae.",0.156378411788818,1,0.571428571428571,-4.51902764008529,0.645025155689821,1,-5.01727983681492,1e-06,0.982211360399287
"Desulfomicrobium",0.156521463554562,1,0.857142857142857,-5.26791075603901,1e-06,0.500000000000093,-3.42505067744047,1.35548095885719,1.19710419479301
"Tribolium",0.159589964780792,1,0.714285714285714,-4.88133115206809,0.546706118872496,0.375,-3.2129304126893,2.03661825783398,1.81091744615832
"Rahnella",0.162680351100764,1,0.714285714285714,-0.312777915135838,2.70889968018707,0.625,-2.01313503053591,1.22295340655821,1.57833804546461
"X.Methanosarcinaceae.",0.164150525660318,1,0.857142857142857,-1.60534792718258,1e-06,0.75,-3.58448498602392,1.68021790275261,1.16940230932606
"Monosiga",0.168349674634987,1,0.714285714285714,-3.15037990563408,2.18500517822625,0.75,-4.78945078752773,0.312926177356633,1.24499649605899
"X.Metazoa.",0.168830390567771,1,0.142857142857143,-2.12738512838655,1.56470944277511,0.25,-1.02150698064391,1.6396836870705,1.79765937407026
"X.Halobacteriaceae.",0.17079097255083,1,0.428571428571429,-4.0610977441429,0.896286331361671,0.625,-3.05253531251296,0.37128538348616,0.840422215138415
"Cyphellophora",0.180549929895204,1,0.285714285714286,-2.48080359214043,1.12549122333706,0.5,-3.45667027410657,1.05493018941829,1.0832057516111
"Nonlabens",0.181869208805855,1,0.857142857142857,-5.05751238882796,1e-06,0.625,-3.3352294529967,1.26986850910128,1.10345324642118
"Escherichia",0.182670396204691,1,0.142857142857143,-1.48339639664663,1.10026856709942,0.25,-0.620957586407804,1.20773197628162,1.16931493267664
"X.Bdellovibrionales.",0.183715348838795,1,0.571428571428571,-2.70392546655348,1.55079038712212,0.625,-3.88294153846846,0.190033667768499,1.06312620019741
"X.Oscillatoriales.",0.184916233975369,1,0.142857142857143,-2.31374230902813,1.01207536606645,0.25,-3.06814249888073,0.777377758754803,0.904347696673039
"Dendroctonus",0.185723824586396,1,0.571428571428571,-3.84662738578972,0.427708355967333,0.75,-2.32353006473499,2.82466625026238,1.42126985703034
"Arcticibacter",0.187182272295273,1,0.142857142857143,-2.71647124213879,0.821389976496484,0.375,-1.96796466649871,0.741446043175919,0.814934004886238
"Cytophaga",0.188928009968525,1,0.714285714285714,-4.05503786319729,0.812643615948975,0.75,-2.71805608782301,0.636907363579994,0.917905159740435
"Pelagibacterium",0.189954114148711,1,0.714285714285714,-4.33372858689485,0.227720855585808,0.875,-2.69891012916281,1e-06,0.908853254925368
"Microbacterium",0.190740360171837,1,0.285714285714286,2.31603615133355,2.09903864175319,0.375,3.39960819512534,0.424430827786577,1.5853327825524
"Moraxella",0.191581982388601,1,0.857142857142857,-5.26791075603901,1e-06,0.75,-3.61118705245744,0.626170559581382,0.940841172517967
"Rhizoctonia",0.192096670157639,1,0.428571428571429,-2.94317369164156,1.52940022872677,0.75,-4.2751589546162,0.703457409191358,1.25598805514806
